,name,tags
0,"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",grocery & gourmet foods grocery & gourmet foods 3.9 ₹686 ₹998
1,Sugar Free Green Natural Stevia Jar(200 g),grocery & gourmet foods grocery & gourmet foods 4.3 ₹162 ₹170
2,"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",grocery & gourmet foods grocery & gourmet foods 4.3 ₹138 ₹139
3,Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,grocery & gourmet foods grocery & gourmet foods 4.4 ₹283 ₹295
4,"Wagh Bakri Premium Leaf Tea, Poly Pack, 500g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹281 ₹290
5,"Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...",grocery & gourmet foods grocery & gourmet foods 4 ₹205 ₹295
6,"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",grocery & gourmet foods grocery & gourmet foods 4.5 ₹626 ₹640
7,BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,grocery & gourmet foods grocery & gourmet foods 4.1 ₹189 ₹399
8,"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",grocery & gourmet foods grocery & gourmet foods 4.4 ₹128 ₹140
9,"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",grocery & gourmet foods grocery & gourmet foods 4.4 ₹352 ₹570
10,"Red Label Natural Care Tea, Chai Made With 5 Ayurvedic Herbs, 1 Kg",grocery & gourmet foods grocery & gourmet foods 4.4 ₹590 ₹650
11,Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,grocery & gourmet foods grocery & gourmet foods 4.4 ₹62 ₹70
12,"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",grocery & gourmet foods grocery & gourmet foods 4.2 ₹172 ₹235
13,"Catch Red Chilli Powder, 100g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹63 ₹73
